Conspiracy,Full name,Categories,Common collocations,Comment
NWO,New world order,Totalitarian world government,QAnon,
QAnon,,Anti-Trump conspiracy ,"""WWG1WGA""",
Agenda 21,,Totalitarian world government,The UN,Linked
Agenda 2030,,Totalitarian world government,The UN,
Event 201,,Covid is a hoax,"Davos, Gates",
Plandemic,,Covid is a hoax,Vaccines,Linked
Scamdemic,,Covid is a hoax,Vaccines,
The Great Reset ,,Totalitarian world government,Davos,
5G,,Bioengineering,Microchip,
Chemtrails,,Bioengineering,Climate change,
GMO,Genetically modified organisms,Bioengineering,Monsanto,
Illuminati,,Totalitarian world government,,
Depopulation,,Covid is a hoax,"Vaccines, population control, eugenics",Linked
Eugenics,,Covid is a hoax,"Gates, vaccines",
Technocracy,,Totalitarian world government,"Davos, Gates",
Big pharma,,Bioengineering,"Vaccines, Gates",
Pedogate,,Anti-Trump conspiracy ,"Qanon, Gates, Clinton",Linked
Pizzagate,,Anti-Trump conspiracy ,"Qanon, Gates, Clinton",
Wuhan virus,,Bioengineering,"Vaccines, population control, eugenics",
Psyop,Psychological operations,Human enslavement,,
The Cabal,,Totalitarian world government,"NWO, Gates, Clinton",
