Organization,Count,Relevance (y/n/unsure),Names,Categories,,also refers to
ABC News,78,y,,Media and Journalism,,
ActBlue,35,y,,Platforms and tech companies,,
AfD,38,y,,Political organization,,
AG Barr,56,y,,Business,,
Air Force,67,y,,Government and administration,,
airbus,18,y,,,,
Al Jazeera,15,y,,Media and Journalism,,
Al Qaeda,23,y,,political organization,,
Alphabet,27,y,,Platforms and tech companies,,
Amalek,18,y,,Religion,,
Amazon,543,y,,Platforms and tech companies,tech platforms,
Amazon,266,y,,Platforms and tech companies,,
American Academy of Pediatrics,15,y,,Government and administration,,
American Express,15,y,,Finance,,
American Government,11,y,,Government and administration,,
American Medical Association,15,y,,Research and education,,
Amnesty International,23,y,,Human rights,,
Anonymous,22,y,,Activist groups,,
ApiJect Systems America,14,y,,Healthcare service,,
Apple,541,y,,Platforms and tech companies,activist groups,
apple,23,y,,Platforms and tech companies,,
Armed Forces Health Surveillance Branch,11,y,,Government and administration,,
Associated Press,23,y,,Media and Journalism,,
Bayer,37,y,,Pharma ,,
bbc,14,y,,Media and Journalism,,
BBC,30,y,,Media and Journalism,,
Big Pharma,462,y,,Pharma,,
Bill & Melinda Gates Foundation,25,y,,NGOs and charity,,
Bloomberg,88,y,,Media and Journalism,,
Boden,16,y,,Business,,
Border Patrol,16,y,,Law and law enforcement,,
Border Protection,26,y,,Government and administration,,
Boston Dynamics,24,y,,Platforms and tech companies,,
Breitbart,38,y,,Media and Journalism,,ask tom
Breitbart.com,23,y,,website,,ask tom
Business Insider,56,y,,Media and Journalism,,
Buzzfeed,10,y,,Media and Journalism,,
California Department of Public Health,13,y,,Government and administration,,
Capitol Hill,51,y,,Government and administration,,
CBN News,68,y,,Media and Journalism,,
cbs,158,y,,Media and Journalism,,
CBS,81,y,,Media and Journalism,,
Center for Health Security,14,y,,Research and education,,
Centers for Disease Control and Prevention,31,y,,Government and administration,,
Change.org,20,y,,Activist groups,,
Children’s Health Defense,34,y,,NGOs and charity,,
China Daily,10,y,,Media and Journalism,,
Chromecast TV,266,y,,Platforms and tech companies,,
cia,357,y,,Government and administration,,
cia,16,y,,Government and administration,,
cia,16,y,,Government and administration,,
Clinton Foundation,36,y,,NGOs and charity,,
Clinton Foundation,14,y,,NGOs and charity,,
cnn,1790,y,,Media and Journalism,religion,
Columbia,21,y,,Research and education,,Columbia University
Consulta Financiación,14,y,,Finance,,
Cornell,26,y,,Research and education,,
Costco,70,y,,Business,,
Council on Foreign Relations,14,y,,Government and administration,,
Council on Foreign Relations,10,y,,Government and administration,,
Defense,82,y,,Government and administration,,
del Banco Credicoop,23,y,,Finance,,
Delta,17,y,Airline,Business,,
Democratic Party,31,y,,Political organization,,
Democratic Party,19,y,,Political organization,,
Department of Energy,11,y,,Government and administration,,
Department of Environmental Health and Engineering,11,y,,Research and Education,,
Department of Public Health,11,y,,Government and administration,,
Disney World,24,y,,Entertainment,,ask tom
Disneyland,22,y,,Entertainment,,ask tom
Divorce/Custody Court,21,y,,Law and law enforcement,,
DoD,56,y,,Government and administration,,
eBay,28,y,,Business,,
Economist,22,y,,Media and Journalism,,
Environmental Health Trust,10,y,,NGOs and charity ,,
Environmental Protection Agency,18,y,,government and administration,,
Epoch Times,15,y,,Media and Journalism,,
eu,36,y,,Government and administration,,
European Commission,15,y,,Government and administration,,
European Union,11,y,,Government and administration,,
Exxon,12,y,,Oil and gas,,
Facebook,734,y,,Platforms and tech companies,research and education,
Facebook,13,y,,Platforms and tech companies,,
Family Preservation Committee,19,y,,Government and administration,,
fbi,44,y,,Government and administration,,
fbi,15,y,,Government and administration,,
fda,149,y,,Government and administration,,
Fed,136,y,,Business,,
fed,117,y,,Government and administration,,
Federal Emergency Management Agency,18,y,,Government and administration,,
Federal Reserve,30,y,,Government and administration,,
Federal Trade Commission,11,y,,Government and administration,,
Fema,27,y,,Government and administration,,
Forbes,28,y,,Media and Journalism,,
Forza Italia party,10,y,,Political organization,,
Fox,91,y,,Media and Journalism,,ask tom
Fox News,347,y,,Media and Journalism,,ask tom
fox news,19,y,,Media and Journalism,,ask tom
fox news,12,y,,Media and journalism,,ask tom
Frank E. Campbell Funeral Home,11,y,,Business,,
Freedom Keeper,17,y,Organization,Research and education,,
Galaxy,19,y,,Platforms and tech companies,GAIA END,
Gavi,85,y,"Gavi, the Vaccine Alliance",Pharma,,
Georgia Institute of Technology,21,y,,Platforms and tech companies,,
German Patent Office,15,y,,Government and administration,,
Gilead Sciences,332,y,,Pharma,,
Global Alliance for Vaccines,11,y,,Healthcare service,,
Global Times,18,y,,Media and Journalism,,
Google,1029,y,,Platforms and tech companies,sports,
google,15,y,,Platforms and tech companies,,
Google,266,y,,Platforms and tech companies,,
gop,120,y,,Political organization,,
Guardian,186,y,,Media and Journalism,,
Hamas,34,y,Nationalist organization,Political organization,,
Harvard,262,y,,Research and education,,Harvard University
Health And Human Rights Summit,11,y,,Research and education,,
Health and Human Services,56,y,,Government and administration,,
Health Canada,37,y,Healthcare,Government and administration,,
Hertz,12,y,,Business,,
Hezbollah,28,y,,Political organization,,
Hitachi,10,y,,Platforms and tech companies,,
Hollywood Movies,20,y,,Entertainment,,
Homeland Security,31,y,,Government and administration,,
House Intelligence Committee,11,y,,Government and administration,,
House of Representatives,28,y,,Government and administration,,
Housing and Finance Authority,14,y,,Finance,,
Huawei,34,y,,Platforms and tech companies,,
IFSP - Intergalactic Federation of Sovereign Planets,73,y,,Government and administration,,
Imperial College,19,y,,Research and education,,
Independent,20,y,,Media and Journalism,,
India Design ID,18,y,,Business,,
Intel,62,y,,Platforms and tech companies,,
intel,27,y,,Platforms and tech companies,,
Intellectual Ventures Laboratory,19,y,Prototyping and Research Lab,Research and education,,
International Monetary Fund,11,y,,Finance,,
Italian Chamber of Deputies,10,y,,Government and administration,,
Jesuits,31,y,,Religion,,
John Hopkins University,17,y,University,Research and education,,
Johns Hopkins Center for Health Security,11,y,,Research and education,,
Johns Hopkins University,25,y,,Research and education,,
Johnson & Johnson,374,y,,Pharma,,
Joint Chiefs of Staff,18,y,,Government and administration,,
Justice Department,21,y,,Law and law enforcement,,
Kaiser Permanente,18,y,,Healthcare service,,
Khyber Training Hospital,32,y,,Healthcare service,,
Kraft,78,y,The Kraft Foods Group,Business,,
Kremlin,55,y,,Government and administration,,
kremlin,45,y,,Government and administration,,
Kunshan City Governance,10,y,,Government and administration,,
La Repubblica,13,y,,Media and Journalism,,
LA Times,12,y,,Media and journalism,,
Lady Reading Hospital,32,y,,Healthcare service,,
Le Monde,11,y,,Media and journalism,,
Life News,21,y,,Media and Journalism,,
Life University,17,y,University,Research and education,,
LinkedIn,44,y,,Platforms and tech companies,,
London Real TV,22,y,,Media and Journalism,,
Longwood,18,y,,Sports,,
mafia,18,y,,criminal organization,,
Marine Corps,22,y,,Government and administration,,
Mastercard,54,y,,Business,,
MasterCard,48,y,,Business,,
McDonald's,57,y,,Business,,
McDonalds,43,y,,Business,,
Medicaid,21,y,,Government and administration,,
MedicalXpress,11,y,,Media and journalism,,
Melinda Gates Foundation,328,y,,NGOs and charity,,
Merck,114,y,,Pharma,,Merck & Co.
Miami Herald,15,y,,Media and Journalism,,
Miami Swim Fashion Week,28,y,,Entertainment,,
Micron Biomedical Inc,19,y,,Pharma ,,
Microsoft,957,y,,Platforms and tech companies,entertainment,
microsoft,57,y,,Platforms and tech companies,,
Microsoft,21,y,,Platforms and tech companies,,
Militia,22,y,,Political organization,,
Ministry of Health,15,y,,Government and administration,,
Ministry of Justice,14,y,,Government and administration,,
mit,423,y,,Research and education,,
MIT Technology Review,10,y,,Media and Journalism,,
MK Ultra,40,y,,Government and administration,,
MK-Ultra,19,y,,Government and administration,,
Moderna,31,y,,Pharma,,
Mossad,71,y,,Government and administration,,
Motorola,11,y,,Platforms and tech companies,,
nasa,3376,y,,Government and administration,government and administration,
Nasa,95,y,,Government and administration,,
National Geographic,19,y,,Media and Journalism,,
National Guard,65,y,,Government and administration,,
National Guard,70,y,,Government and administration,,
National Independent Venues Association,29,y,,Entertainment,,
National Institute of Health,17,y,,Government and administration,,ask
National Institutes of Health,29,y,,Government and administration,,ask
National Security,18,y,,Government and administration,,
National Weather Service,11,y,,Media and journalism,,
National Wildlife Federation,13,y,,NGOs and charity,,
Nato,10,y,,Government and administration,,
Navy,96,y,,Government and administration,,
navy,27,y,,Government and administration,,
nba,17,y,,Sports,,
NBC News,78,y,,Media and Journalism,,
Netflix,38,y,,Entertainment,,
New World Order,262,y,,Conspiracy theory,,
New York Times,77,y,,Media and Journalism,,
New Yorker Hotel,11,y,,Hospitality,,
Newport News,34,y,,Media and Journalism,,
NewsGuard,21,y,,Platforms and tech companies,,
Newsweek,66,y,,Media and Journalism,,
Nickelodeon,17,y,,Media and Journalism,,
Nike,51,y,,Business,,
Nikon,10,y,,Business,,
North Atlantic Treaty Organization,11,y,,Government and administration,,
Nos,16,y,,Media and Journalism,,
NY Times,18,y,,Media and Journalism,,
Office of Emergency Planning,11,y,,Government and administration,,
Oxford University,19,y,British University,Research and education,,
Pacific Justice Institute,12,y,,NGOs and charity,,
ParadoxRadio,17,y,,Media and Journalism,,
Parliament,149,y,,Government and administration,,
Patreon,29,y,,Business,,
Patreon.com,40,y,,website,,
PayPal,46,y,,Business,,
Pentagon,395,y,,Government and administration,,
pentagon,122,y,,Government and administration,,
Pepsi,26,y,,Business,,
Pfizer,22,y,,Pharma,,
Pirbright Institute,20,y,,Research and education,,
Planned Parenthood,209,y,,NGOs and charity,,
Plexus,175,y,,Business,,
Polizei,40,y,,Government and administration,,
Press TV,19,y,,Media and Journalism,,
Project Blue Beam,80,y,,Conspiracy theory,,
Project Veritas,19,y,,Activist groups,,
ProPublica,15,y,,Media and Journalism,,
Q-Munity,19,y,,Platforms and tech companies,,
Rageon.com,31,y,,Business,,
Reader's Digest,17,y,,Media and Journalism,,
Reuters,236,y,,Media and Journalism,,
Rockefeller,334,y,,Finance,,Rockefeller Foundation
Rockefellers,130,y,,Business,,ask
Ron Paul Institute,19,y,,Political organization,,
Samsung,31,y,,Platforms and tech companies,,
Secret Service,111,y,,Government and administration,,
Senate,546,y,,Government and administration,media and journalism,
Shell,13,y,,Oil and gas,,
SiliconValley,23,y,,Platforms and tech companies,,
Sky News,52,y,,Media and Journalism,,Sky News Australia
Skype,38,y,,Platforms and tech companies,,
Sony,27,y,,Platforms and tech companies,,
