Person,count,relevance (y/n/unsure),Categories,full name
Emiliano Zapata,129,y,Politics,Emiliano Zapata
King Spiros,29,y,Religion,King Spiros
"Thomas Jefferson
",70,y,Politics,Thomas Jefferson
Aaron Russo,94,y,Entertainment,Aaron Russo
Abraham Lincoln,44,y,Politics,Abraham Lincoln
Adam Schiff,40,y,Politics,Adam Schiff
Adolf Hitler,82,y,Politics,Adolf Hitler
Al Gore,33,y,Politics,Albert Arnold Gore Jr.
Alan Dershowitz,42,y,Law and law enforcement,Alan Dershowitz
Albert Einstein,52,y,Science,Albert Einstein
Albert Pike,26,y,Literature,Albert Pike
Aleister Crowley,42,y,Religion,Aleister Crowley
Alex Azar,27,y,Politics,Alex Azar
Alex Jones,219,y,Conspiracy Theory,Alex Jones
Alexander McQueen,23,y,Arts and culture,Alexander McQueen
Anderson Cooper,67,y,Media and journalism,Anderson Cooper
Andrew Breitbart,23,y,Media and journalism,Andrew Breitbart
Andrew Cuomo,73,y,Politics,Andrew Cuomo
Andrew Kaufman,95,y,Literature,Andrew Kaufman
Andrew Kevin Newton,44,y,Law and law enforcement,Andrew Kevin Newton
Andrew Wakefield,27,y,Science,Andrew Wakefield
Angela Merkel,48,y,Politics,Angela Merkel
Anne M. Johnson,83,y,Science,Anne M. Johnson
Annunaki,150,y,Religion,Annunaki
Anthony Bourdain,22,y,Arts and culture,Anthony Bourdain
Anthony Fauci,437,y,Science,Anthony Fauci
Anthony Weiner,28,y,Politics,Anthony Weiner
Archons,30,y,Religion,Archon
Ariana Grande,23,y,Entertainment,Ariana Grande
Artin Massihi,24,y,Science,Artin Massihi
Attila Hildmann,366,y,Conspiracy Theory,Attila Hildmann
Avicii,28,y,Entertainment,Avicii
Barack Obama,165,y,Politics,Barack Obama
Barry Soetoro,25,y,Politics,Barack Obama
Batman,39,y,Entertainment,Batman
Ben Shapiro,23,y,Media and journalism,Ben Shapiro
Benjamin Franklin,50,y,Politics,Benjamin Franklin
Benjamin Netanyahu,34,y,Politics,Benjamin Netanyahu
Bernie,80,y,Politics,Bernie Sanders
Beyonce,29,y,Entertainment,Beyonce
Beyoncé,47,y,Entertainment ,Beyoncé
Bezos,32,y,Business,Jeff Bezos
Biden,300,y,Politics,Joe Biden
Bill Barr,42,y,Law and law enforcement,Bill Barr
Bill Clinton,251,y,Politics,Bill Clinton
Bill Cooper,43,y,Conspiracy Theory,Bill Cooper
Bill de Blasio,32,y,Politics,Bill de Blasio
Bill Gates,4496,y,Business,Bill Gates
Bill Maher,27,y,Entertainment,Bill Maher
Bill Nye,26,y,Science,Bill Nye
Billie Eilish,26,y,Entertainment,Billie Eilish
Birx,104,y,Science,Deborah Birx
Bob Marley,40,y,Entertainment,Bob Marley
Bobby L. Rush,47,y,Politics,Bobby L. Rush
Bodo Schiffmann,49,y,Science,Bodo Schiffmann
