,Entities,Categories,type
0,nasa,Government and administration,organizaion
1,un,Government and administration,organizaion
2,cnn,Media and Journalism,organizaion
3,Google,Platforms and tech companies,organizaion
4,Microsoft,Platforms and tech companies,organizaion
5,Facebook,Platforms and tech companies,organizaion
6,Senate,Government and administration,organizaion
7,Amazon,Platforms and tech companies,organizaion
8,Apple,Platforms and tech companies,organizaion
9,WhatsApp,Platforms and tech companies,organizaion
10,Big Pharma,Pharma,organizaion
11,mit,Research and education,organizaion
12,Pentagon,Government and administration,organizaion
13,Johnson & Johnson,Pharma,organizaion
14,the White House,Government and administration,organizaion
15,cia,Government and administration,organizaion
16,Fox News,Media and Journalism,organizaion
17,Rockefeller,Finance,organizaion
18,Gilead Sciences,Pharma,organizaion
19,Merck & Co.,Pharma,organizaion
20,Melinda Gates Foundation,NGOs and charity,organizaion
21,White House,Government and administration,organizaion
22,Google TV,Platforms and tech companies,organizaion
23,Amazon TV,Platforms and tech companies,organizaion
24,Chromecast TV,Platforms and tech companies,organizaion
25,Harvard,Research and education,organizaion
26,the World Health Organization,Government and administration,organizaion
27,New World Order,Conspiracy theory,organizaion
28,The League of Liberty,Political organization,organizaion
29,Reuters,Media and Journalism,organizaion
30,Planned Parenthood,NGOs and charity,organizaion
31,Guardian,Media and Journalism,organizaion
32,Plexus,Business,organizaion
33,the United Nations,Government and administration,organizaion
34,cbs,Media and Journalism,organizaion
35,the Gates Foundation,NGOs and charity,organizaion
36,Parliament,Government and administration,organizaion
37,fda,Government and administration,organizaion
38,Fed,Business,organizaion
39,Rockefellers,Business,organizaion
40,The New World Order,Conspiracy theory,organizaion
41,pentagon,Government and administration,organizaion
42,gop,Political organization,organizaion
43,fed,Government and administration,organizaion
44,The New York Times,Media and Journalism,organizaion
45,United Nations,Government and administration,organizaion
46,Merck,Pharma,organizaion
47,the Federal Reserve,Government and administration,organizaion
48,Secret Service,Government and administration,organizaion
49,Supreme Court,Law and law enforcement,organizaion
50,the Centers for Disease Control and Prevention,Government and administration,organizaion
51,Navy,Government and administration,organizaion
52,Times,Media and Journalism,organizaion
53,Nasa,Government and administration,organizaion
54,Fox,Media and Journalism,organizaion
55,Young Living,Business,organizaion
56,Bloomberg,Media and Journalism,organizaion
57,the Washington Post,Media and Journalism,organizaion
58,Yale,Research and education,organizaion
59,Gavi,Pharma,organizaion
60,The White House,Government and administration,organizaion
61,the Catholic Church,Religion,organizaion
62,Defense,Government and administration,organizaion
